id,shares
0,1914.45548152
1,3152.39701115
2,4592.02096153
3,2990.37170375
4,4380.11877442
5,2178.5080635
6,2263.04689415
7,3535.79336168
8,2648.49089615
9,1524.30877457
10,4058.86160677
11,7463.7616494
12,5925.53408528
13,2105.50944369
14,1104.76818502
15,3423.71006136
16,3564.52248701
17,3270.58533503
18,3258.3136625
19,2104.17468083
20,2470.63418114
21,2371.8226258
22,2372.16888503
23,2862.42337701
24,1869.04621592
25,647.19555423
26,4449.61745562
27,5662.16776356
28,3570.99052042
29,6053.71888495
30,2477.92246139
31,2139.68727477
32,7046.36911968
33,1491.45699556
34,1045.85519178
35,4712.85881684
36,1518.69322345
37,5661.81406244
38,7450.85827344
39,1856.55476173
40,2053.58730519
41,5097.34474059
42,4186.53044801
43,5469.11971866
44,9110.5078391
45,6482.86093456
46,4447.96743324
47,1659.57946005
48,1700.80241306
49,3884.71178381
50,935.674103593
51,3975.27247489
52,2824.72526707
53,2550.85185289
54,2695.2545583
55,4828.06898315
56,2891.7158473
57,2415.06437556
58,831.469933987
59,2573.18795679
60,2872.20753719
61,2910.11862674
62,1883.49420933
63,4041.29275709
64,4054.36284421
65,4404.96999431
66,3929.2098319
67,3939.19911738
68,7370.10235468
69,5507.11832291
70,2532.17054541
71,2909.36880789
72,3658.47019019
73,7293.87397995
74,8040.35657728
75,3782.72259802
76,2532.17125063
77,4225.14347825
78,2593.29478547
79,3692.62117536
80,2830.09843968
81,6796.16642223
82,3891.1497275
83,2608.18788944
84,5296.24461102
85,3840.26837633
86,2494.59798004
87,2575.41610904
88,3645.36076516
89,2142.00819545
90,8068.54617362
91,5663.78307258
92,5216.77084581
93,1627.04808245
94,4856.64599101
95,1747.01405413
96,8435.30394
97,3182.30124732
98,5979.09488305
99,1171.8412606
100,3510.3888064
101,3994.50573917
102,4029.57714856
103,2211.81521423
104,4166.65770372
105,2714.40545051
106,2420.65362665
107,3958.91098017
108,696.681987242
109,4211.00352248
110,2312.57293741
111,1443.34140731
112,4679.56037687
113,2163.79187246
114,4651.29694216
115,2677.88419396
116,1433.13491204
117,3208.87866327
118,2382.57186075
119,4396.31394334
120,10037.5228974
121,718.419422903
122,5972.46682693
123,2154.15556352
124,6483.79427946
125,3536.24325691
126,4920.95945263
127,3844.64935239
128,4064.47656406
129,2394.53868239
130,4518.54923054
131,1604.84187958
132,2384.65938373
133,5274.79220979
134,2740.36551255
135,4024.82845237
136,4111.32835975
137,2815.44812798
138,1004.0747289
139,4407.95058816
140,3882.26771565
141,1734.0282815
142,5908.59369779
143,2883.3854254
144,2710.96943566
145,673.249680207
146,1883.61091943
147,2960.5130718
148,5203.80849037
149,3167.49953192
150,5036.12536473
151,6467.97482785
152,3218.63475634
153,1423.34217377
154,2626.99608047
155,1141.12800222
156,5415.32146482
157,3753.34924149
158,1505.83286244
159,4028.72447188
160,4519.93235282
161,3527.24733618
162,4275.06390367
163,3207.72425155
164,1312.96340409
165,1776.43335172
166,1236.97382205
167,5622.26447436
168,3488.79970416
169,2447.26856363
170,2485.30598814
171,1522.98724215
172,1108.66601663
173,2437.03733923
174,2727.53147885
175,1847.89640257
176,3627.08147291
177,6669.72635723
178,1503.44365787
179,2987.88307629
180,6066.67281949
181,3832.3256931
182,3144.66602067
183,2295.09916258
184,2528.82107265
185,3209.39719483
186,4034.1923679
187,3134.27989356
188,5083.49281155
189,4874.51833944
190,2090.99782713
191,2713.28661936
192,5451.66208899
193,3444.45686943
194,4718.63942968
195,4246.3119039
196,3514.5464868
197,2208.55239403
198,1332.61555385
199,5115.29388317
200,1398.95117845
201,2581.20678103
202,2109.37741308
203,7924.34785362
204,2765.95638062
205,2587.89314906
206,2501.50293944
207,1385.30648836
208,2360.45476266
209,5086.83619366
210,2787.49096582
211,2400.75087832
212,4665.28911902
213,3064.97061031
214,4948.4908762
215,1843.33091471
216,3927.92968981
217,4094.8723704
218,2709.18908965
219,2789.19644538
220,2942.74402929
221,5815.27510365
222,3846.15852477
223,2469.9903067
224,2420.11733712
225,2318.93908518
226,981.735913659
227,1960.38855422
228,3259.42387988
229,2406.13218197
230,10631.7951349
231,3123.42689403
232,3369.06382647
233,2354.02699939
234,2447.97123439
235,1921.82976581
236,3044.71562392
237,3415.25200278
238,2277.06412328
239,2318.97314176
240,2294.39497253
241,1187.45373413
242,1546.45486131
243,2234.89655508
244,2422.73647939
245,6589.45259987
246,11092.9203913
247,2394.37748776
248,5897.00238092
249,6555.99708067
